Gender,Region,ViewId,ClientId,SignalCount
Male,SKorea,None,Windows,398
Male,SKorea,None,Other,15
Male,Europe,None,Other,955511
Male,Europe,None,Android,9
Male,Europe,None,Windows,8384
Female,China,None,Windows,1
Female,China,None,Windows,6
Female,US,None,Other,70
Female,US,None,Exchange,53
Female,US,None,Windows,87387
Male,US,None,Windows,2121
Male,US,None,Mac,26
Female,US,None,Android,172
Female,US,None,Mac,9140
Male,US,None,MacMail,5
Female,US,None,MacMail,407
Female,China,None,Windows,1
Male,China,None,Windows,1
Female,SKorea,View1,Windows,8
Male,SKorea,View1,Windows,3906
Male,SKorea,View1,Other,6401
Male,SKorea,View1,Android,5
Male,SKorea,View1,Other,4
Male,SKorea,View1,Windows,1
Male,SKorea,View1,Other,78
Male,SKorea,View1,Windows,23
Male,SKorea,View1,Windows,56
Male,SKorea,View1,Other,132
Male,SKorea,View1,Other,3
Male,SKorea,View1,Other,3
Male,China,View1,Windows,4
Male,US,View1,Windows,1
Female,US,View2,Windows,29044
Female,US,View2,Other,35
Female,US,View2,Mac,21
Female,US,View2,Android,13
Female,US,View2,MacMail,1
Female,US,View3,Windows,3
Female,US,View4,Other,1
Female,US,View4,Windows,19714
Female,US,View4,Android,6
Male,Europe,View5,Other,114640
Male,Europe,View5,Windows,13619
Male,US,View5,Windows,371
Female,US,View5,Windows,1
Female,SKorea,View6,Windows,1
Male,Europe,View6,Windows,27
Female,China,View6,Windows,5
Female,China,View6,Windows,1
Female,China,View6,Windows,1
Female,US,View6,Windows,62073
Female,US,View6,Exchange,6
Female,US,View6,MacMail,48
Female,US,View6,Android,181
Female,US,View6,Mac,2831
Male,US,View6,Mac,30
Male,US,View6,Windows,2
Female,US,View6,Other,117
Female,China,View6,Windows,51
Female,China,View6,Windows,1
Female,China,View6,Windows,2
Male,China,View6,Windows,2
Female,China,View6,Windows,2
Female,China,View6,Windows,1
Female,SKorea,View7,Windows,1
Female,US,View7,Windows,3213
Male,US,View7,Windows,640
Female,US,View7,Other,2
Female,US,View7,Android,2
Female,US,View7,Mac,5
Female,SKorea,View8,Windows,5
Female,China,View8,Windows,7
Female,China,View8,Windows,7
Female,China,View8,Windows,4
Female,China,View8,Windows,1
Female,China,View8,Windows,1
Female,China,View8,Windows,1
Female,US,View8,Windows,1034031
Female,US,View8,Mac,3901
Female,US,View8,Ios,1264
Female,US,View8,Android,4761
Female,US,View8,Other,910
Male,US,View8,Ios,417
Male,US,View8,Mac,119
Male,US,View8,Windows,102
Female,US,View8,Exchange,83
Female,US,View8,MacMail,61
Male,US,View8,Exchange,9
Male,US,View8,MacMail,4
Male,US,View8,Android,6
Female,China,View8,Windows,174
Female,China,View8,Windows,14
Female,China,View8,Windows,1
Female,China,View8,Exchange,1
Female,China,View8,Ios,1
Female,China,View8,Windows,17
Female,China,View8,Ios,1
Female,China,View8,Windows,42
Female,China,View8,Windows,8
Female,China,View9,Windows,9
Female,US,View9,Windows,2070627
Female,US,View9,Android,23150
Male,US,View9,Windows,11
Female,US,View9,Other,3610
Female,US,View9,Mac,5
Female,China,View9,Windows,5
Female,China,View9,Windows,23
Female,China,View9,Windows,1
Female,China,View9,Android,1
Female,China,View9,Windows,1
Female,China,View9,Windows,2
Female,China,View9,Android,1
Female,China,View9,Windows,8
